 Be Density=1.848
 Energy(eV), Delta, Beta
  2000.  8.62057786E-05  6.80262644E-07
  2009.9845  8.53433521E-05  6.66702135E-07
  2020.01855  8.44895694E-05  6.53412656E-07
  2030.10303  8.36443724E-05  6.4029166E-07
  2040.23767  8.28077027E-05  6.27336078E-07
  2050.42285  8.1979415E-05  6.14642886E-07
  2060.65894  8.11594218E-05  6.02205489E-07
  2070.94629  8.03477233E-05  5.90019056E-07
  2081.28467  7.95441592E-05  5.7807955E-07
  2091.6748  7.87486279E-05  5.66381345E-07
  2102.11694  7.7961151E-05  5.54922337E-07
  2112.61108  7.71815685E-05  5.4369491E-07
  2123.15771  7.64097713E-05  5.32695196E-07
  2133.75684  7.56458467E-05  5.21917002E-07
  2144.40894  7.48895836E-05  5.11356802E-07
  2155.1145  7.41408512E-05  5.01009822E-07
  2165.87305  7.33996785E-05  4.90873617E-07
  2176.68555  7.266592E-05  4.80942617E-07
  2187.552  7.1939503E-05  4.71213042E-07
  2198.47266  7.12204128E-05  4.61680315E-07
  2209.44775  7.05086641E-05  4.52339862E-07
  2220.47778  6.98040167E-05  4.43188895E-07
  2231.56274  6.91064342E-05  4.34223494E-07
  2242.70312  6.84158513E-05  4.25440305E-07
  2253.89941  6.77321586E-05  4.16834467E-07
  2265.15137  6.70553127E-05  4.08403423E-07
  2276.45923  6.63853789E-05  4.00140721E-07
  2287.82373  6.5722139E-05  3.92045564E-07
  2299.24512  6.50655202E-05  3.84114401E-07
  2310.72339  6.44155734E-05  3.76345156E-07
  2322.25903  6.37721605E-05  3.68734277E-07
  2333.85205  6.31351795E-05  3.61277415E-07
  2345.50317  6.25046014E-05  3.53970506E-07
  2357.2124  6.18803679E-05  3.46811078E-07
  2368.97998  6.12623771E-05  3.39796713E-07
  2380.8064  6.06505746E-05  3.32924145E-07
  2392.69189  6.0044953E-05  3.26191753E-07
  2404.63672  5.94453704E-05  3.19595273E-07
  2416.64111  5.88517869E-05  3.13132688E-07
  2428.70532  5.82642169E-05  3.06801013E-07
  2440.83008  5.76825041E-05  3.00597065E-07
  2453.01514  5.71066084E-05  2.94519111E-07
  2465.26099  5.65365735E-05  2.88564024E-07
  2477.56787  5.59722503E-05  2.82729474E-07
  2489.93628  5.54135549E-05  2.77012816E-07
  2502.3667  5.4860473E-05  2.71412091E-07
  2514.85889  5.43129645E-05  2.65924825E-07
  2527.41357  5.37709093E-05  2.60548404E-07
  2540.03101  5.32342892E-05  2.55281236E-07
  2552.71118  5.27030861E-05  2.50121246E-07
  2565.45508  5.21771726E-05  2.45065365E-07
  2578.26221  5.16565306E-05  2.40112115E-07
  2591.1333  5.1141149E-05  2.3525881E-07
  2604.06885  5.06309007E-05  2.30503517E-07
  2617.06885  5.01257418E-05  2.25844801E-07
  2630.13354  4.96257126E-05  2.21280047E-07
  2643.26392  4.91306564E-05  2.16807365E-07
  2656.45947  4.86405515E-05  2.12425633E-07
  2669.72119  4.81554016E-05  2.08132676E-07
  2683.04907  4.76751229E-05  2.03926959E-07
  2696.44312  4.719965E-05  1.99806522E-07
  2709.90454  4.6728921E-05  1.95768905E-07
  2723.43286  4.62629105E-05  1.91813058E-07
  2737.02856  4.58015529E-05  1.87937331E-07
  2750.69238  4.5344812E-05  1.84139907E-07
  2764.42432  4.48926694E-05  1.80419804E-07
  2778.22485  4.44450452E-05  1.76775046E-07
  2792.09424  4.40018848E-05  1.73203901E-07
  2806.03296  4.35632355E-05  1.69705316E-07
  2820.04126  4.31289591E-05  1.66277545E-07
  2834.11963  4.26990009E-05  1.62918951E-07
  2848.26807  4.22733756E-05  1.59628613E-07
  2862.48706  4.18519921E-05  1.56404823E-07
  2876.7771  4.14348106E-05  1.53246162E-07
  2891.13867  4.10218345E-05  1.50151649E-07
  2905.57178  4.06130202E-05  1.47119877E-07
  2920.0769  4.02082769E-05  1.4414934E-07
  2934.65454  3.9807579E-05  1.41239113E-07
  2949.30493  3.94108938E-05  1.38387847E-07
  2964.02832  3.90181667E-05  1.35594135E-07
  2978.82544  3.86293577E-05  1.32857096E-07
  2993.69629  3.82445032E-05  1.30175351E-07
  3008.64136  3.78634832E-05  1.27547395E-07
  3023.66089  3.74862648E-05  1.24972487E-07
  3038.75562  3.71128226E-05  1.22416637E-07
  3053.92578  3.67430985E-05  1.19910709E-07
  3069.17139  3.63770705E-05  1.17456281E-07
  3084.49341  3.60146951E-05  1.15052671E-07
  3099.8916  3.56559503E-05  1.12698302E-07
  3115.36694  3.53007672E-05  1.10392243E-07
  3130.91943  3.49491529E-05  1.08133577E-07
  3146.5498  3.46010638E-05  1.05920812E-07
  3162.25781  3.4256449E-05  1.03753493E-07
  3178.04468  3.39152648E-05  1.01630924E-07
  3193.90991  3.35775076E-05  9.95519613E-08
  3209.85449  3.32431118E-05  9.75156524E-08
  3225.87866  3.29120485E-05  9.55213793E-08
  3241.98291  3.25843212E-05  9.35678912E-08
  3258.16748  3.22598644E-05  9.16545488E-08
  3274.43286  3.19386418E-05  8.9780599E-08
  3290.77954  3.16206279E-05  8.79448976E-08
  3307.20776  3.13057899E-05  8.61469118E-08
  3323.71802  3.09940915E-05  8.43859596E-08
  3340.31055  3.06855181E-05  8.26608968E-08
  3356.98608  3.03800371E-05  8.09711764E-08
  3373.74463  3.0077601E-05  7.9316294E-08
  3390.58716  2.97781808E-05  7.76952191E-08
  3407.51367  2.94817528E-05  7.61074475E-08
  3424.52466  2.91882807E-05  7.4552446E-08
  3441.62061  2.88977262E-05  7.30291845E-08
  3458.80176  2.86100894E-05  7.153713E-08
